iter	Passed	Remaining
276	1755	4581
277	1760	4573
278	1766	4564
279	1771	4554
280	1777	4546
281	1784	4543
282	1790	4536
283	1796	4530
284	1803	4525
285	1809	4518
286	1816	4512
287	1824	4510
288	1833	4510
289	1841	4508
290	1848	4503
291	1856	4501
292	1864	4499
293	1871	4493
294	1877	4485
295	1883	4479
296	1889	4471
297	1894	4464
298	1900	4456
299	1907	4449
300	1913	4444
301	1919	4437
302	1925	4429
303	1933	4426
304	1939	4418
305	1945	4412
306	1951	4404
307	1957	4397
308	1963	4391
309	1969	4384
310	1977	4381
311	1985	4377
312	1990	4369
313	1997	4364
314	2003	4356
315	2008	4347
316	2015	4342
317	2020	4332
318	2025	4324
319	2031	4316
320	2036	4307
321	2041	4299
322	2046	4290
323	2052	4282
324	2058	4274
325	2063	4267
326	2069	4259
327	2075	4252
328	2081	4246
329	2087	4238
330	2092	4230
331	2097	4220
332	2103	4212
333	2108	4204
334	2114	4196
335	2119	4189
336	2125	4182
337	2131	4174
338	2136	4165
339	2142	4158
340	2147	4150
341	2153	4143
342	2159	4135
343	2164	4127
344	2169	4119
345	2175	4111
346	2181	4104
347	2186	4096
348	2192	4090
349	2198	4082
350	2207	4081
351	2214	4076
352	2220	4070
353	2227	4064
354	2232	4056
355	2243	4057
356	2251	4055
357	2260	4053
358	2265	4045
359	2274	4043
360	2281	4039
361	2288	4032
362	2294	4025
363	2300	4019
364	2307	4014
365	2313	4007
366	2319	4000
367	2325	3993
368	2331	3987
369	2338	3981
370	2344	3974
371	2351	3968
372	2359	3966
373	2365	3959
374	2371	3953
375	2377	3946
376	2384	3940
377	2391	3936
378	2398	3930
379	2406	3926
380	2412	3919
381	2418	3913
382	2425	3907
383	2430	3899
384	2436	3892
385	2441	3884
386	2447	3876
387	2452	3868
388	2457	3859
389	2462	3851
390	2467	3843
391	2473	3836
392	2477	3827
393	2484	3820
394	2489	3813
395	2495	3805
396	2500	3798
397	2506	3790
398	2511	3782
399	2517	3775
400	2521	3767
401	2527	3759
402	2532	3751
403	2538	3745
404	2543	3737
405	2551	3733
406	2560	3730
407	2566	3724
408	2572	3717
409	2578	3710
410	2584	3704
411	2593	3701
412	2603	3700
413	2611	3696
414	2620	3693
415	2626	3687
416	2634	3682
417	2640	3677
